sentimentSubjectivity,uuid,plikes,title,url,views,creation,dislikes,dataSessionlink,likes,duration,sentimentPolarity,pdislikes,channel,description
0.0,143,0,Mario kart con Coca Cola,/watch?v=G2fv1fRbaD4,3 views,6 months ago,0,itct=CEMQ3DAYAiITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,0,3:57,0.0,0,/channel/UCr5KXogIr-zboGOhmxiw5Rg,CocaCola #MarioKart.
1.0,144,100.0,COCA COLA CARDS COLLECTION Beautiful Deck,/watch?v=qBBNlxBs6FY,79 views,6 months ago,0,itct=CEIQ3DAYAyITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,7,2:16,0.85,0.0,/channel/UCymIaVntStir1VUp7YjAMpA,"COCA COLA CARDS COLLECTION Beautiful Deck (Venezuela 2016)Welcome to this channel for Toys, Collections and Surprises ..."
0.0,145,100.0,#COCACOLA CHALLENGE!!!!,/watch?v=Z-KGk3uwMko,86 views,6 months ago,0,itct=CEEQ3DAYBCITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,15,2:28,0.0,0.0,/channel/UC-rSttQEXP6kkzh1nEc_EnQ,"Watch me, my brother and sister drink a whole Coca Cola bottle in 2 minutes."
0.0,146,,Coca Cola Finger Family Song for Children Toddlers and Babies Nursery Rhymes,/watch?v=SBvFmRX5fHc,"97,715 views",6 months ago,,itct=CEAQ3DAYBSITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,,0:57,0.0,,/channel/UCwKLDhm_3kneligmQZEVRzw,Coca Cola Finger Family Song for Children Toddlers and Babies Nursery Rhymes Hi guys! Do you like to Finger Family Song?
0.0,147,0,DIY Coca Cola M M's Chocolate 1000 Degree Knife Combine Jelly Slime Learn Colors Icecream,/watch?v=RHYVX-ltUNU,2 views,6 months ago,0,itct=CD8Q3DAYBiITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,0,17:15,0.0,0,/channel/UChpHABdbf1oxUvidpBcpSUQ,DIY Coca Cola M M's Chocolate 1000 Degree Knife Combine Jelly Slime Learn Colors Icecream Thank you for watching the ...
,148,0,By Coca Cola Featured Home Décor,/watch?v=qZz44v4BDjQ,6 views,6 months ago,0,itct=CD4Q3DAYByITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,0,1:34,,0,/channel/UCh4-S7UMbw8cesnYp9VR4Fw,By Coca Cola Featured Home Décor More Deals Details: ...
0.0,149,50.0,How To Make Chocolate Coca Cola Bottle Learn Numbers,/watch?v=bnVvh2Ydth0,63 views,6 months ago,1,itct=CD0Q3DAYCCITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,1,9:57,0.0,50.0,/channel/UCgJWuyE2zyXU5uNCK8oBvyQ,How To Make Chocolate Coca Cola Bottle Learn Numbers Toymonster SUBSCRIBE(CLICK☞): How To Make Chocolate Coca ...
,150,0,Coca Cola Finger Family Collection Learn Colors with Coca Cola. Nursery Rhymes songs for babi ♪♪♪☂☂,/watch?v=wkjvj23Xkn8,No views,6 months ago,0,itct=CDwQ3DAYCSITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,0,9:34,,0,/channel/UCevJMPFg_3v03HoJnrRsoNQ,Coca Cola Finger Family Collection Learn Colors with Coca Cola. Nursery Rhymes songs for babi ♪♪♪☂☂ Coca Cola Finger ...
0.0,151,67.6470588235,Learn Colors Play Doh Coca Cola Bottles Superhero Spiderman Finger Family Nursey Rhymes Slime Kids,/watch?v=mnsx86MGLv8,"119,489 views",6 months ago,77,itct=CDsQ3DAYCiITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,161,11:05,0.0,32.3529411765,/channel/UCKIfJVpLgk4plkZNIiY4zww,Learn Colors Play Doh Coca Cola Bottles Superhero Spiderman Finger Family Nursey Rhymes Barrel O Slime Toys for Kids ...
,152,75.0,"Νέα Coca-Cola Χωρίς Θερμίδες, και με γλυκαντικό από το φυτό Στέβια | Lanitis Bros",/watch?v=-r798uTSOqE,119 views,6 months ago,1,itct=CDoQ3DAYCyITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,3,0:31,,25.0,/channel/UCN0CN4pL_b5_0cMA-Fiy-nA,"Τα καλύτερα πράγματα στη ζωή τα απολαμβάνεις φυσικά, με κλειστά μάτια, όπως τη νέα υπέροχη γεύση Coca-Cola Χωρίς..."
,153,100.0,Bad Baby ГИГАНТСКАЯ КОКА КОЛА GIANT COCA COLA Challenge,/watch?v=-28Cy_GqOjI,62 views,6 months ago,0,itct=CDkQ3DAYDCITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,2,3:22,,0.0,/channel/UC7iWT4ov0YNK_MhcIxJ-0PQ,Bad Baby ГИГАНТСКАЯ КОКА КОЛА GIANT COCA COLA Challenge Bad Baby Гигантская КОКА КОЛА Челлендж GIANT COCA ...
0.0,154,100.0,La meilleur pub #CocaCola 2017,/watch?v=HVcwQoipTgc,67 views,6 months ago,0,itct=CDgQ3DAYDSITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,1,0:08,0.0,0.0,/user/MrPatatsky,La meilleur publiciter de Fanta #CocaCola 2017.
0.0,155,0,Coca Cola OUT of Bubbles ? How to ReCarbonate Coca Cola or make any soda drink in 5 Minutes,/watch?v=MgF9xTm9V98,6 views,6 months ago,0,itct=CDcQ3DAYDiITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,0,2:16,0.0,0,/channel/UCi_OY4WP5byWnfk9xKBoS5Q,Coca Cola OUT of Bubbles ? How to ReCarbonate Coca Cola or make any soda drink in 5 Minutes Coca Cola out of bubbles ?
0.5,156,100.0,Lil Ant and Baby B - Performing Live for Coca Cola At The Verizon Theater in Dallas Tx,/watch?v=5nHI3EyfxsU,64 views,6 months ago,0,itct=CDYQ3DAYDyITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,5,1:26,0.13636363636363635,0.0,/channel/UC5HbYrXmDmJyNJoUBGyp5WA,Lil Ant Performing Live for Coca Cola At the Verizon Theater in Dallas Tx! Spanish Version coming soon! #CocaCola ...
,157,94.495412844,Bad Baby ПОЛЕЗНАЯ КОКА КОЛА  COCA COLA Life Challenge ПЕПСИ без кофеина,/watch?v=zJockUNE0Cw,"13,934 views",6 months ago,12,itct=CDUQ3DAYECITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,206,3:11,,5.50458715596,/channel/UCWI7puXzGTPuxsoW2HD3XxQ,"Многим детям нельзя пить кока кола, но мы нашли в магазине в Дубаи Coca Cola Life - сделанную только из натуральных..."
0.0,158,100.0,CBA Review - CocaCola TVC,/watch?v=wQrLPcKkT4o,"1,196 views",6 months ago,0,itct=CDQQ3DAYESITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,13,2:52,0.0,0.0,/user/Punjabiitotay90,Hey guys the CBA Reviews are back :) This time it's the new #CocaCola TVC. Do let me know what you think of this one ;)
0.0,159,100.0,#CocaCola Te llevare...  #warketing,/watch?v=HKP4rSs0Omo,34 views,6 months ago,0,itct=CDMQ3DAYEiITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,1,0:31,0.0,0.0,/user/warketing1,
0.0,160,84.6153846154,Mack Truck Play Doh Surprise Eggs Superhero Coca-Cola Bottles Finger Family Rhymes Learn Colors,/watch?v=JQ3RjjItA_I,"3,795 views",6 months ago,2,itct=CDIQ3DAYEyITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,11,10:34,0.0,15.3846153846,/channel/UCKIfJVpLgk4plkZNIiY4zww,Disney Pixar Cars Lightning McQueen Mack Truck Play Doh Surprise Eggs Toys for Kids Superhero Coca-Cola Bottles Finger ...
0.0,161,67.9442508711,Coca-Cola/Humming Anthem,/watch?v=g-aTwSA3QxA,"17,032 views",6 months ago,92,itct=CEUQ3DAYACITCKXk0NHrqdcCFZPEtAod_HYFLij0JFIJI2NvY2Fjb2xh,195,1:01,0.0,32.0557491289,/user/cocacola,"A good day, a bad day, a busy day, or that day when you have absolutely nothing to do. Any day can taste special with Coca-Cola."
0.2,162,72.7272727273,Spiderman vs Batman - Beach Day Fun COCA- COLA Prank! w/ #Spiderman and #Batman #Superhero,/watch?v=0hon1C91d_Q,"28,131 views",7 months ago,9,itct=CEQQ3DAYASITCKXk0NHrqdcCFZPEtAod_HYFLij0JFIJI2NvY2Fjb2xh,24,3:13,0.375,27.2727272727,/channel/UCC_qsUuubolV0OP7OSs9Fpw,"Spiderman vs Batman - Beach Day Fun Coca-Cola Prank. But before this happened, there was an ordinary Saturday day and ..."
0.0,163,100.0,DIY ORBIZ grown in soda For experiments COCA-COLA FANTA,/watch?v=wyBJl4UOBY0,13 views,7 months ago,0,itct=CEMQ3DAYAiITCKXk0NHrqdcCFZPEtAod_HYFLij0JFIJI2NvY2Fjb2xh,3,6:32,0.0,0.0,/channel/UCL-AWbKasbf7Q922UliCXLg,In this video I'm going to grow ORBIZ in Coca-Cola and FANTA. Let's see what happened! #kids #DIY #cocacola #fanta ...
0.14285714285714285,164,100.0,FANTA FANNY PACK Carnaval Limited Edition Coca Cola Collection,/watch?v=Hzxn5G4tkDk,87 views,7 months ago,0,itct=CEIQ3DAYAyITCKXk0NHrqdcCFZPEtAod_HYFLij0JFIJI2NvY2Fjb2xh,10,2:14,-0.07142857142857142,0.0,/channel/UCymIaVntStir1VUp7YjAMpA,"FANTA FANNY PACK Carnaval Limited Edition Coca Cola Collection (Spain, 2017) Welcome to this channel for Toys, Collections ..."
0.0,165,0,#cocacola #jimmykimmel,/watch?v=53aNeEPT48o,7 views,7 months ago,0,itct=CEEQ3DAYBCITCKXk0NHrqdcCFZPEtAod_HYFLij0JFIJI2NvY2Fjb2xh,0,0:05,0.0,0,/channel/UC4HcPtArFXnV-l7Ae9wui5A,New coca cola comercial.
0.0,166,0,Corrosion Cleaning/removal Method - #CocaCola,/watch?v=9BNRWBOY0-Y,10 views,7 months ago,0,itct=CEAQ3DAYBSITCKXk0NHrqdcCFZPEtAod_HYFLij0JFIJI2NvY2Fjb2xh,0,0:23,0.0,0,/user/GraffitikingMr,READ ME ** Was out And about. When we had some car trouble. (Darn Wal-Mart Battery.) Seen we had some Corrosion blocking ...
0.0,167,55.0,Superhero Coca Cola Bottles Play-Doh Ice Cream Finger Family Nursey Rhymes Toys for Kids,/watch?v=D8eU8oZ7eI0,"9,893 views",7 months ago,9,itct=CD8Q3DAYBiITCKXk0NHrqdcCFZPEtAod_HYFLij0JFIJI2NvY2Fjb2xh,11,11:40,0.0,45.0,/channel/UC9cbjl7idqfv9m4eJzPwtEw,hi kids!!Play Doh and Toys present new superhero coca cola bottles surprise toys and play-doh Ice Cream Cars 2 surprise eggs ...
0.1,168,88.4615384615,Eyes closed.,/watch?v=R2dGoyjrvsg,"5,078 views",7 months ago,6,itct=CD4Q3DAYByITCKXk0NHrqdcCFZPEtAod_HYFLij0JFIJI2NvY2Fjb2xh,46,0:46,-0.1,11.5384615385,/channel/UCSpu6fELJgTYyKuMblHtnig,Some moments in life feel better with your eyes closed. #MazaHarLamheKa #CocaCola.
0.0,169,63.6363636364,Superhero Play Doh Coca Cola Bottles Play-Doh Lollipops Finger Family Nursey Rhymes Kids Baby,/watch?v=_VINf-JcL3I,"2,725 views",7 months ago,4,itct=CD0Q3DAYCCITCKXk0NHrqdcCFZPEtAod_HYFLij0JFIJI2NvY2Fjb2xh,7,11:54,0.0,36.3636363636,/channel/UC9cbjl7idqfv9m4eJzPwtEw,"hi kids!!Play Doh and Toys present new superhero coca cola Play Doh bottles surprise toys, and play-doh lollipops surprise eggs ..."
0.75,170,77.7777777778,The most disgusting things found in a Coca Cola,/watch?v=2S9cLQrd_VU,"2,760 views",7 months ago,2,itct=CDwQ3DAYCSITCKXk0NHrqdcCFZPEtAod_HYFLij0JFIJI2NvY2Fjb2xh,7,3:32,-0.25,22.2222222222,/user/abantecdeportes,"In Argentina a man uploaded a video to YouTube that became quite popular, the user ""trantorfilms"" claims to have found inside ..."
1.0,171,0,How to Make Powerful Cannon from Coca Cola  #cocacola,/watch?v=15hMIaZGMOc,104 views,7 months ago,0,itct=CDsQ3DAYCiITCKXk0NHrqdcCFZPEtAod_HYFLij0JFIJI2NvY2Fjb2xh,0,5:13,0.3,0,/channel/UCHxNhqFUS5RO960-e99BGbg,
0.675,172,81.6976127321,SHREDDING Frozen Coca-Cola - Shredder vs Soft Drinks - ODDLY SATISFYING EXPERIMENT,/watch?v=dbZHhJFKEyE,"101,152 views",7 months ago,69,itct=CDoQ3DAYCyITCKXk0NHrqdcCFZPEtAod_HYFLij0JFIJI2NvY2Fjb2xh,308,12:52,0.3,18.3023872679,/channel/UCT_jbISMjmSt-uDalazz-sg,"In this Shredder Video you will see what happens when MrTry is shredding frozen Soft Drinks like Coca-Cola, Pepsi, Fanta, ..."
0.0,173,94.0744143316,How To Make Coca Cola Soda Vending Machine,/watch?v=LUJklFJALic,"172,579 views",7 months ago,129,itct=CDkQ3DAYDCITCKXk0NHrqdcCFZPEtAod_HYFLij0JFIJI2NvY2Fjb2xh,"2,048",6:15,0.0,5.92558566835,/channel/UCqsyWNaCAZ91YDCMcC-yBfA,"Homemade Coca Cola Soda Vending Machine from cardboard, easy DIY craft for you to make at home!Learn from this tutorial how ..."
0.14285714285714285,174,95.2380952381,COCA COLA COLLECTION JARS GIFT Tin Cans Limited Edition,/watch?v=iUV3nuMKfUM,"1,612 views",7 months ago,1,itct=CDgQ3DAYDSITCKXk0NHrqdcCFZPEtAod_HYFLij0JFIJI2NvY2Fjb2xh,20,1:04,-0.07142857142857142,4.7619047619,/channel/UCymIaVntStir1VUp7YjAMpA,"COCA COLA COLLECTION JARS GIFT Tin Limited Edition (Spain, 2017)Welcome to this channel for Toys, Collections and Surprises ..."
0.5833333333333334,175,78.6516853933,COKE GOES GAY! COCA-COLA ILLUMINATI SYMBOLS AND GMOs EXPOSED!,/watch?v=2s5JGVPFN74,"6,712 views",7 months ago,57,itct=CDcQ3DAYDiITCKXk0NHrqdcCFZPEtAod_HYFLij0JFIJI2NvY2Fjb2xh,210,18:47,0.6510416666666667,21.3483146067,/user/Truthneversleeps,Coca-Cola releases gay commercial advertisement that shows a brother and sister fighting for the attention of a hunky pool boy ...
,176,92.0,Ürün Markaları Kıyafet Çizimi #COCACOLA,/watch?v=YSL43keWolE,460 views,8 months ago,2,itct=CDYQ3DAYDyITCKXk0NHrqdcCFZPEtAod_HYFLij0JFIJI2NvY2Fjb2xh,23,4:07,,8.0,/channel/UCYVkfZaFtdfOaAXed6MVIqA,
0.22727272727272727,177,0,DIY How To Make Kinetic Sand Coca Cola Learn Color English Names Toys New Compilation 2017,/watch?v=PEpSgQfRnG4,No views,8 months ago,0,itct=CDUQ3DAYECITCKXk0NHrqdcCFZPEtAod_HYFLij0JFIJI2NvY2Fjb2xh,0,11:28,0.06818181818181818,0,/channel/UC4AfHUaw5ZdkI3Qiw0SQzuQ,DIY How To Make Kinetic Sand Coca Cola Learn Color English Names Toys Music: You So Zany by Audionautix is licensed ...
0.0,178,0,DIY How To Make 'Learn Coca Cola Colors M&M's Chocolate' Learn Colors Slime Toilet Poop,/watch?v=lcMwNWvguEw,23 views,8 months ago,0,itct=CDQQ3DAYESITCKXk0NHrqdcCFZPEtAod_HYFLij0JFIJI2NvY2Fjb2xh,0,2:20,-0.03333333333333333,0,/channel/UC4AfHUaw5ZdkI3Qiw0SQzuQ,How to make Coca-Cola and m&m's Chocolate Bottle souvenir Nursery Rhymes Baby Elsa and Baby Spiderman Coca Cola is ...
